time,EAR,MAR,sleep_time,ai_score
1772643478.4754934,0.36499721290555437,0.666684723217208,0,0.20000541696516239
1772643478.6103003,0.32652217884872536,0.6326858594528739,0,0.18980575783586218
1772643478.6755867,0.32769024423132287,0.6697728194272227,0,0.20093184582816678
1772643478.7372031,0.3572914283252926,0.6591494934199162,0,0.19774484802597486
1772643478.8015287,0.337170134842281,0.6560114803025017,0,0.19680344409075048
1772643478.8797226,0.337170134842281,0.6560114803025017,0,0.19680344409075048
1772643478.9554708,0.364357080369359,0.6067761360245092,0,0.18203284080735274
1772643479.0204933,0.32652217884872536,0.6461120276306326,0,0.19383360828918977
1772643479.0756876,0.3089569133475114,0.5935145670316067,0,0.178054370109482
1772643479.1483068,0.3021818649820404,0.6246484101369226,0,0.1873945230410768
1772643479.2133303,0.319004133706831,0.6166824666826549,0,0.18500474000479647
1772643479.2786632,0.3198347355869686,0.6253246563132402,0,0.18759739689397206
1772643479.34565,0.31361668926478126,0.6045392035857595,0,0.18136176107572785
1772643479.4123278,0.32337636944927095,0.573355114523548,0,0.1720065343570644
1772643479.4718535,0.32328467751296097,0.5755211395034623,0,0.17265634185103867
1772643479.529318,0.3326131385562053,0.6065668547296726,0,0.1819700564189018
1772643479.5996342,0.3029195975493559,0.6251512438670236,0,0.18754537316010708
1772643479.6627023,0.34176771565978536,0.6067565920880443,0,0.1820269776264133
1772643479.720756,0.21548907793419697,0.5831992088109451,0.0,0.2763728691222471
1772643479.779688,0.25122488262569775,0.6253246563132402,0,0.24612753774313476
1772643479.8541448,0.31646337024463883,0.614767451070901,0,0.1844302353212703
1772643479.9167397,0.2992485865102813,0.6492286073092912,0,0.19567027838044979
1772643479.9860268,0.319219243961114,0.6386056378908568,0,0.19158169136725703
1772643480.06913,0.28570690649263464,0.604215102167024,0,0.19841624285894563
1772643480.1320121,0.33383736372683526,0.6177976257610786,0,0.18533928772832356
1772643480.197238,0.3343402696845619,0.5822393520047126,0,0.17467180560141377
1772643480.2587974,0.3229872377802382,0.598080037176927,0,0.1794240111530781
1772643480.3208315,0.31273398897802707,0.5851638570865457,0,0.17554915712596372
1772643480.383217,0.2911629230773783,0.5959345899174873,0,0.18938486928239223
1772643480.4456165,0.32328467751296097,0.606978412068483,0,0.1820935236205449
1772643480.523762,0.31977588082753783,0.5978788654439855,0,0.17936365963319564
1772643480.5908308,0.3161844512187918,0.5747318871277701,0,0.17241956613833104
1772643480.6605365,0.3410831783205418,0.573162446570294,0,0.1719487339710882
1772643480.722704,0.32277217884872533,0.6087458631485932,0,0.18262375894457797
1772643480.782567,0.33067497304917326,0.5978788654439855,0,0.17936365963319564
1772643480.8814912,0.33067497304917326,0.583949722872684,0,0.17518491686180518
1772643480.949652,0.32342013484228094,0.5745349936866591,0,0.1723604981059977
1772643481.005542,0.2826071870416079,0.5633411449261736,0,0.18987371902792255
1772643487.105851,0.3126980072930779,0.5320071700601778,0,0.15960215101805333
1772643487.2016768,0.32234095970747995,0.5419495618125426,0,0.16258486854376278
1772643487.281479,0.30154360805909575,0.5320071700601778,0,0.15960215101805333
1772643487.365878,0.3304269941138661,0.5532707795292099,0,0.16598123385876296
1772643487.4255695,0.33121559166379877,0.5652927841360336,0,0.16958783524081006
1772643487.4976923,0.33121559166379877,0.5652927841360336,0,0.16958783524081006
1772643487.575952,0.3049759451312593,0.5426430608054658,0,0.16279291824163972
1772643487.645995,0.20555230433010357,0.5322198028559593,0.0,0.27300317566066346
1772643487.7099404,0.1828380194087752,0.5322198028559593,0.06394553184509277,0.30281813884006126
1772643487.7757134,0.30146978811389713,0.5426430608054658,0,0.16279291824163972
1772643487.8298295,0.294106379913868,0.5745349936866591,0,0.1794328422093561
1772643487.894365,0.3056040641755621,0.5426430608054658,0,0.16279291824163972
1772643487.9582474,0.3049759451312593,0.5751248662408012,0,0.17253745987224034
1772643488.0256858,0.3265509291930088,0.5435671383179791,0,0.16307014149539373
1772643488.0878894,0.3158455103486506,0.5431824027701999,0,0.16295472083105997
1772643488.150762,0.2994071125418212,0.5437843914055689,0,0.16384678237148526
1772643488.2205527,0.30454531384167616,0.5327001406133713,0,0.1598100421840114
1772643488.2856922,0.2980783072908325,0.532709185134439,0,0.16211878679133268
1772643488.3457553,0.29227988775583363,0.5544341360225868,0,0.1755943754997757
1772643488.40384,0.2811235731593013,0.5443100634860987,0,0.185944731254668
1772643488.465585,0.3478464468143001,0.5545567789403845,0,0.16636703368211533
1772643488.525675,0.32645525801624753,0.5652927841360336,0,0.16958783524081006
1772643488.5883312,0.2985089385804157,0.5650838806396048,0,0.17131443789538256
1772643488.655918,0.2666270831431471,0.5532707795292099,0,0.20602873408698644
1772643488.7175643,0.29384325041748627,0.5528956382636604,0,0.17325679097811458
1772643488.7817585,0.33383680150894757,0.5639066702744978,0,0.16917200108234934
1772643488.839449,0.3060873622173296,0.5532707795292099,0,0.16598123385876296
1772643488.8978245,0.30949467149019116,0.5544257864314257,0,0.1663277359294277
1772643488.9612627,0.29863536542111435,0.542634888783922,0,0.16442802812983934
1772643489.0159903,0.29227988775583363,0.47829056202915354,0,0.1527513033017457
1772643489.0776913,0.3273815310731464,0.4998709177724714,0,0.14996127533174142
1772643489.145779,0.3026965544225003,0.46655148298808463,0,0.13996544489642537
1772643489.2059004,0.3240686530537241,0.5107442407420726,0,0.15322327222262178
1772643489.2657292,0.29897430629125554,0.5431824027701999,0,0.1641855532815533
1772643489.327693,0.3229872377802382,0.520928546934041,0,0.1562785640802123
1772643489.3896773,0.3381445272539883,0.5639066702744978,0,0.16917200108234934
1772643489.4535902,0.3049759451312593,0.5311347488868096,0,0.15934042466604287
1772643489.5199914,0.2980783072908325,0.5418669131512018,0,0.16486610519636152
1772643489.577398,0.26116966310772893,0.5532707795292099,0,0.2125776381294882
1772643489.637209,0.29227988775583363,0.5321275745361022,0,0.16890240705383028
1772643489.7047708,0.28851634905896967,0.543695565286887,0,0.17688905071530248
1772643489.7621846,0.29863536542111435,0.5439128697042088,0,0.16481142240592542
1772643489.8281665,0.3150737632279439,0.5435671383179791,0,0.16307014149539373
1772643489.8951027,0.3234206970601685,0.5654263441577758,0,0.16962790324733273
1772643489.9797988,0.2926383882120092,0.553395996409738,0,0.17485273306851032
1772643490.0376668,0.30905203208778104,0.5635243174198639,0,0.16905729522595916
1772643490.0958474,0.327274962036597,0.5532707795292099,0,0.16598123385876296
1772643490.1540642,0.3235651848781099,0.587019047781762,0,0.17610571433452857
1772643490.2059865,0.29227988775583363,0.5853635861254267,0,0.18487321053062764
1772643490.2670596,0.2928931088450006,0.5978860454863698,0,0.18789408303191024
1772643490.3281062,0.3128770413349156,0.5889570815862737,0,0.1766871244758821
1772643490.4026575,0.3128770413349156,0.5889570815862737,0,0.1766871244758821
1772643490.46123,0.30420419801055254,0.5542131200353827,0,0.16626393601061482
1772643490.5291204,0.28877756358698514,0.5534752403034477,0,0.17950949578665212
1772643490.59376,0.3058927785188147,0.553395996409738,0,0.1660187989229214
1772643490.653988,0.29689606497521714,0.5780622564735814,0,0.17714339897181386
1772643490.7167888,0.27752733058203694,0.5534752403034477,0,0.19300977539258998
1772643490.78443,0.2497640395887649,0.57575197729609,0.0,0.23300874568230912
1772643490.8460257,0.22827957705737628,0.5556405107055971,0.06159567832946777,0.25522048787600626
1772643490.908723,0.16935220937034326,0.5109850196583221,0.12429308891296387,0.3150445782096033
1772643490.9721994,0.1773155986445797,0.48915019033520407,0.18776941299438477,0.30147711524684095
1772643491.03004,0.1773155986445797,0.48915019033520407,0.24560999870300293,0.3037907386751857
1772643491.0943022,0.15674529642852836,0.4783947487840416,0.3098721504211426,0.3278189549378241
1772643491.15574,0.20520092471194915,0.4783947487840416,0.3713099956512451,0.2721297148069233
1772643491.2206645,0.18745090170170148,0.4894820801327478,0.4362344741821289,0.2993529209650677
1772643491.287329,0.16475068238542143,0.49976403958876486,0.5028989315032959,0.3323443502742556
1772643491.3515496,0.17613963774544997,0.4788566835985954,0.5671195983886719,0.3149742237205855
1772643491.410879,0.14462513853452286,0.47830281716257994,0.6264488697052002,0.35499863369555457
1772643491.4809487,0.14445856561386278,0.4682207928533075,0.6965186595916748,0.35497670550302385
1772643491.5375576,0.18734310529450504,0.5106233456578416,0.7531275749206543,0.3185003803407726
1772643491.6060448,0.16657234481036978,0.4682207928533075,0.8216147422790527,0.33344401377471067
1772643491.6657238,0.18745090170170148,0.4788566835985954,0.881293773651123,0.3139676739835818
1772643491.7256324,0.14300336321780494,0.47757073613525813,0.9412024021148682,0.3693152810638063
1772643491.7866604,0.16629128938282933,0.47850777766897,1.0022304058074951,0.34409200227359565
1772643491.8580732,0.1699546315353333,0.466470582730078,1.0736432075500488,0.3389413452786254
1772643491.9259,0.17819605128759125,0.4788566835985954,1.141469955444336,0.3354805417522425
1772643491.9958563,0.19026059766179762,0.4670801533933745,1.2114262580871582,0.3202683791473415
1772643492.0558887,0.14253539089956802,0.4682207928533075,1.271458625793457,0.3802821138082489
1772643492.1265953,0.15195968436754356,0.46864830784130257,1.342165231704712,0.37192948037952694
1772643492.1881118,0.17044519993761859,0.4783947487840416,1.403681755065918,0.35513145491270687
1772643492.2501915,0.17554613979693956,0.5001289215696386,1.465761423110962,0.35801376563900256
1772643492.3075855,0.18312189737269713,0.49987658891580494,1.5231554508209229,0.35114291786034185
1772643492.3691437,0.18745090170170148,0.5106070566382844,1.5847136974334717,0.3516295828467824
1772643492.428671,0.1538770228016132,0.45759639414631337,1.6442408561706543,0.37839612512878434
1772643492.50114,0.16629128938282933,0.4887682202732315,1.716710090637207,0.3757493224480626
1772643492.567782,0.1538770228016132,0.4783947487840416,1.7833518981933594,0.390200073201011
1772643492.6258273,0.16629128938282933,0.46728090129813477,1.8413972854614258,0.37429061454850227
1772643492.6828167,0.15379617549621588,0.4894820801327478,1.8983867168426514,0.3982246821180713
