EAR,MAR,BLINK_RATE,HEAD_TILT,Fatigue
0.2587843407727069,0.3881765111590604,0,0,0
0.24037595062210954,0.36056392593316433,1,0,0
0.259888849094526,0.389833273641789,1,0,0
0.25867836813553613,0.3880175522033042,1,0,0
0.22837506959778492,0.3425626043966774,2,0,0
0.219336687791365,0.32900503168704753,3,0,0
0.24037595062210954,0.36056392593316433,4,0,0
0.23823144500331547,0.3573471675049732,5,0,0
0.2841394450911143,0.4262091676366714,5,0,0
0.28333867474801605,0.4250080121220241,5,0,0
0.24037595062210954,0.36056392593316433,6,0,0
0.28333867474801605,0.4250080121220241,6,0,0
0.28333867474801605,0.4250080121220241,6,0,0
0.2606233456578416,0.39093501848676243,6,0,0
0.2815462531857365,0.4223193797786048,6,0,0
0.2815462531857365,0.4223193797786048,6,0,0
0.2724459655118999,0.4086689482678499,6,0,0
0.2815462531857365,0.4223193797786048,6,0,0
0.2823419577959951,0.4235129366939926,6,0,0
0.2727272727272727,0.40909090909090906,6,0,0
0.2743424502696699,0.4115136754045049,6,0,0
0.26241451764924945,0.3936217764738742,6,0,0
0.2727272727272727,0.40909090909090906,6,0,0
0.2727272727272727,0.40909090909090906,6,0,0
0.29545454545454547,0.44318181818181823,6,0,0
0.2762040184244509,0.41430602763667634,6,0,0
0.3178536264305499,0.47678043964582484,6,0,0
0.3181818181818182,0.4772727272727273,6,0,0
0.3197969957242153,0.479695493586323,6,0,0
0.3197969957242153,0.479695493586323,6,0,0
0.30743773095067284,0.46115659642600926,6,0,0
0.3058927785188147,0.45883916777822203,6,0,0
0.3289853382644353,0.493478007396653,6,0,0
0.3289853382644353,0.493478007396653,6,0,0
0.2305531284802611,0.34582969272039166,7,0,0
0.31796743500784785,0.4769511525117718,7,0,0
0.2679985157046388,0.4019977735569582,7,0,0
0.2890735821752002,0.4336103732628003,7,0,0
0.27919577422896064,0.418793661343441,7,0,0
0.31752794974596293,0.47629192461894443,7,0,0
0.33357947635520163,0.5003692145328025,7,0,0
0.2767114301352826,0.41506714520292387,7,0,0
0.3087053138358001,0.46305797075370014,7,0,0
0.2788125341864264,0.41821880127963956,7,0,0
0.22426173767603233,0.3363926065140485,8,0,0
0.19665385615732067,0.294980784235981,9,0,1
0.26786360440655144,0.40179540660982715,9,0,0
0.2657851979020681,0.3986777968531022,9,0,0
0.2518868125783982,0.37783021886759727,9,0,0
0.21063855459671635,0.31595783189507454,10,0,0
0.23971772826690166,0.3595765924003525,11,0,0
0.3464402269154832,0.5196603403732248,11,0,0
0.35979672276191427,0.5396950841428714,11,0,0
0.31772648420433197,0.476589726306498,11,0,0
0.34336728889099694,0.5150509333364954,11,0,0
0.3725483399736927,0.5588225099605391,11,0,0
0.37611622490148755,0.5641743373522313,11,0,0
0.36477913981399046,0.5471687097209856,11,0,0
0.34921514788478913,0.5238227218271837,11,0,0
0.3122679070520836,0.46840186057812544,11,0,0
0.3248635593290371,0.48729533899355565,11,0,0
0.3388418801179092,0.5082628201768639,11,0,0
0.3248745617634292,0.4873118426451438,11,0,0
0.32670726389255195,0.49006089583882795,11,0,0
0.32472313850582274,0.48708470775873414,11,0,0
0.3458159948484105,0.5187239922726158,11,0,0
0.33337631219566094,0.5000644682934914,11,0,0
0.32412310089898577,0.48618465134847866,11,0,0
0.3516454374800326,0.5274681562200488,11,0,0
0.3270038285328232,0.49050574279923487,11,0,0
0.3362099949915102,0.5043149924872653,11,0,0
0.2248653993450505,0.3372980990175758,12,0,0
0.23671603823699963,0.35507405735549946,13,0,0
0.23890224674484192,0.35835337011726287,14,0,0
0.27248778112483935,0.408731671687259,14,0,0
0.2680703870225854,0.4021055805338781,14,0,0
0.2728209637817521,0.40923144567262815,14,0,0
0.32412310089898577,0.48618465134847866,14,0,0
0.3105649968749708,0.4658474953124562,14,0,0
0.28879155624744735,0.433187334371171,14,0,0
0.34835397113699995,0.5225309567054999,14,0,0
0.3480111592076727,0.5220167388115091,14,0,0
0.348457460858811,0.5226861912882166,14,0,0
0.34846846710431084,0.5227027006564663,14,0,0
0.3397515352992686,0.5096273029489029,14,0,0
0.348457460858811,0.5226861912882166,14,0,0
0.35211253791139135,0.528168806867087,14,0,0
0.3258639762439116,0.4887959643658674,14,0,0
0.3397515352992686,0.5096273029489029,14,0,0
0.35045846523215257,0.5256876978482289,14,0,0
0.3380036798612751,0.5070055197919127,14,0,0
0.3297795020109644,0.4946692530164466,14,0,0
0.37959699565539345,0.5693954934830902,14,0,0
0.35407855490414686,0.5311178323562202,14,0,0
0.3451796697588326,0.5177695046382489,14,0,0
0.35871307766047,0.5380696164907051,14,0,0
0.3472281647165654,0.5208422470748482,14,0,0
0.33764620053194583,0.5064693007979187,14,0,0
0.34566741858169253,0.5185011278725388,14,0,0
0.3575340096760473,0.536301014514071,14,0,0
0.3472281647165654,0.5208422470748482,14,0,0
0.3526417513772279,0.5289626270658419,14,0,0
0.36082521996551026,0.5412378299482654,14,0,0
0.3603393907160009,0.5405090860740014,14,0,0
0.3719150104888356,0.5578725157332534,14,0,0
0.34837754259417975,0.5225663138912696,14,0,0
0.3487637709431662,0.5231456564147493,14,0,0
0.35959102472003307,0.5393865370800496,14,0,0
0.3487672001975169,0.5231508002962754,14,0,0
0.348112061982832,0.522168092974248,14,0,0
